set_id,item,measure,category,date
1001,パン,180,朝食,2025-05-01
1001,バター,420,朝食,2025-05-01
1001,ジャム,380,朝食,2025-05-01
1001,牛乳,220,乳製品,2025-05-01
1002,パン,180,朝食,2025-05-02
1002,牛乳,220,乳製品,2025-05-02
1002,コーヒー豆,980,飲料,2025-05-02
1003,パン,180,朝食,2025-05-03
1003,牛乳,220,乳製品,2025-05-03
1003,紅茶,560,飲料,2025-05-03
1004,パン,180,朝食,2025-05-04
1004,コーヒー豆,980,飲料,2025-05-04
1004,電気ケトル,3980,家電,2025-05-04
1005,パン,180,朝食,2025-05-05
1005,ジャム,380,朝食,2025-05-05
1005,牛乳,220,乳製品,2025-05-05
1005,クッキー,260,菓子,2025-05-05
1006,パスタ,260,食料品,2025-05-06
1006,トマトソース,340,食料品,2025-05-06
1006,オリーブオイル,980,食料品,2025-05-06
1006,バジル,240,食料品,2025-05-06
1007,パスタ,260,食料品,2025-05-07
1007,トマトソース,340,食料品,2025-05-07
1007,オリーブオイル,980,食料品,2025-05-07
1008,パスタ,260,食料品,2025-05-08
1008,トマトソース,340,食料品,2025-05-08
1008,バジル,240,食料品,2025-05-08
1008,サラダミックス,320,青果,2025-05-08
1009,パスタ,260,食料品,2025-05-09
1009,オリーブオイル,980,食料品,2025-05-09
1009,りんご,150,青果,2025-05-09
1010,パン,180,朝食,2025-05-10
1010,オリーブオイル,980,食料品,2025-05-10
1011,コーヒー豆,980,飲料,2025-05-11
1011,クッキー,260,菓子,2025-05-11
1011,チョコレート,300,菓子,2025-05-11
1012,紅茶,560,飲料,2025-05-12
1012,クッキー,260,菓子,2025-05-12
1012,チョコレート,300,菓子,2025-05-12
1013,牛乳,220,乳製品,2025-05-13
1013,チョコレート,300,菓子,2025-05-13
1014,オリーブオイル,980,食料品,2025-05-14
1014,サラダミックス,320,青果,2025-05-14
1014,ナッツ,480,菓子,2025-05-14
1015,チョコレート,300,菓子,2025-05-15
1015,クッキー,260,菓子,2025-05-15
1015,ナッツ,480,菓子,2025-05-15
1016,チョコレート,300,菓子,2025-05-16
1016,ナッツ,480,菓子,2025-05-16
1016,りんご,150,青果,2025-05-16
1017,パン,180,朝食,2025-05-17
1017,牛乳,220,乳製品,2025-05-17
1018,パン,180,朝食,2025-05-18
1018,ジャム,380,朝食,2025-05-18
1019,パン,180,朝食,2025-05-19
1019,バター,420,朝食,2025-05-19
1019,牛乳,220,乳製品,2025-05-19
1020,コーヒー豆,980,飲料,2025-05-20
1020,牛乳,220,乳製品,2025-05-20
1021,紅茶,560,飲料,2025-05-21
1021,クッキー,260,菓子,2025-05-21
1022,コーヒー豆,980,飲料,2025-05-22
1022,オリーブオイル,980,食料品,2025-05-22
1023,紅茶,560,飲料,2025-05-23
1023,サラダミックス,320,青果,2025-05-23
1024,りんご,150,青果,2025-05-24
1024,サラダミックス,320,青果,2025-05-24
1025,りんご,150,青果,2025-05-25
1025,パン,180,朝食,2025-05-25
1026,パン,180,朝食,2025-05-26
1026,クッキー,260,菓子,2025-05-26
1026,牛乳,220,乳製品,2025-05-26
1027,パスタ,260,食料品,2025-05-27
1027,パン,180,朝食,2025-05-27
1028,ナッツ,480,菓子,2025-05-28
1028,オリーブオイル,980,食料品,2025-05-28
1029,ジャム,380,朝食,2025-05-29
1029,チョコレート,300,菓子,2025-05-29
1030,コーヒー豆,980,飲料,2025-05-30
1030,ナッツ,480,菓子,2025-05-30
